creeping_shadow 	125 	125 	1 	1 	350 	110 	0.65 	90 	4 		
- dark_wraith 	175 	300 	1 	2 	700 	165 	0.62 	90 	4 		
- - nimble_edge 	250 	550 	1 	3 	700 	225 	0.7 	235 	5 		
- - - bloodknife 	150 	700 	1 	4 	700 	225 	0.7 	90 	10 		
jester 	140 	140 	1 	1 	320 	110 	0.7 	90 	4 		
- trickster 	225 	365 	1 	2 	850 	185 	0.6 	90 	9 		
- - stealth_assassin 	220 	585 	1 	3 	1100 	320 	0.7 	90 	12 		
- - blood_drinker 	300 	665 	1 	4 	1300 	340 	0.66 	90 	15 		
lotus 	160 	160 	1 	1 	220 	175 	1 	200 	3 		
- nightshade 	200 	360 	1 	2 	400 	240 	0.74 	300 	5 		
- - timekeeper 	200 	560 	1 	3 	650 	255 	0.71 	400 	5 		
mind_stealer 	50 	50 	1 	1 	70 	40 	0.8 	450 	2 		
- mind_breaker 	110 	160 	1 	2 	200 	105 	0.5 	500 	3 		
- - mind_slicer 	170 	330 	1 	3 	370 	190 	0.63 	550 	4 		
- - silent_champion 	200 	360 	1 	4 	700 	200 	0.64 	550 	6 		
zealot_scarab 	20 	20 	1 	1 	85 	11.5 	0.8 	90 	0 		
- shadow_hunter 	100 	120 	1 	2 	380 	50 	0.8 	90 	2 		
- - alpha_predator
