archer 	40 	40 	1 	1 	60 	34 	0.75 	500 	0 		
- hunter 	70 	110 	1 	2 	120 	92.75 	0.7 	550 	1 		
- - marksman 	100 	210 	1 	3 	240 	148.75 	0.65 	600 	1 		
- - - sharpshooter 	130 	340 	1 	4 	350 	432.5 	0.8 	900 	1 		
- - - gunner 	130 	340 	1 	5 	400 	176.75 	0.4 	650 	2 		
gyrocopter_mk1 	130 	130 	1 	1 	200 	104 	0.9 	400 	3 		
- gyrocopter_mk2 	210 	340 	2 	3 	350 	191.5 	0.85 	400 	3 		
- - futuristic_gyrocopter 	320 	660 	3 	6 	580 	215 	0.8 	400 	3 		
lieutenant 	240 	240 	1 	1 	500 	157.5 	0.84 	90 	5 		
- general 	305 	545 	1 	2 	1050 	322.5 	0.7 	100 	7 		
- - blademaster 	300 	845 	2 	4 	1250 	472.75 	0.42 	100 	8 		
- - tactician 	450 	995 	3 	7 	700 	310.5 	0.52 	600 	5 		
militia 	35 	35 	1 	1 	125 	25 	0.87 	90 	2 		
- footman 	70 	105 	1 	2 	280 	62.5 	0.86 	100 	4 		
- - soldier 	95 	200 	2 	4 	570 	106.25 	0.8 	100 	5 		
- - - spearman 	175 	375 	2 	6 	900 	145.5 	0.55 	100 	12 		
- - - paladin 	130 	330 	1 	7 	600 	136.25 	0.5 	100 	7 		
novice 	80 	80 	1 	1 	75 	42 	0.8 	500 	0 		
- mage 	130 	210 	1 	2 	65 	72.5 	1.0 	500 	0 		
- - archmage 	160 	370 	1 	3 	110 	87.5 	1.0 	500 	0 		
- - - archbishop 	350 	720 	1 	4 	120 	137.5 	0.8 	500 	0 		
- - - icewrack_grandmaster 	400 	770 	2 	6 	100 	160 	1.0 	600 	0 		
- - - soundmaster 
