bear 	130 	130 	1 	1 	500 	72.25 	0.8 	125 	2 		
- druid_bear 	240 	370 	1 	2 	1350 	136.25 	0.52 	90 	6 		
- iron_bear 	180 	310 	1 	3 	1000 	90.25 	0.38 	90 	2 		
bug 	45 	45 	1 	1 	55 	52.75 	1 	450 	0 		
- big_bug 	70 	115 	1 	2 	140 	95.75 	0.65 	500 	0 		
- - very_big_bug 	120 	235 	1 	3 	350 	145.75 	0.52 	500 	0 		
centaur 	250 	250 	1 	1 	1000 	145.25 	0.9 	125 	3 		
- big_centaur 	300 	550 	2 	3 	1500 	275.25 	0.84 	90 	8 		
- centaur_warrunner 	350 	600 	2 	5 	1200 	346.25 	0.63 	90 	8 		
hyena 	180 	180 	1 	1 	200 	120.5 	0.51 	450 	2 		
- agressive_boar 	240 	420 	1 	2 	750 	245 	0.5 	500 	4 		
spider 	25 	25 	1 	1 	78 	14.125 	0.65 	90 	0 		
- broodmother 	65 	90 	1 	2 	300 	45.375 	0.55 	90 	3 		
treant 	130 	130 	1 	1 	410 	59.125 	0.62 	90 	2 		
- shroom 	250 	380 	1 	2 	950 	129.75 	1.05 	90 	7 		
- flower_treant 	200 	330 	1 	3 	620 	250 	0.7 	350 	4 		
- treebeard 123456789
