earth_spirit 	130 	130 	1 	1 	350 	100 	1 	150 	3 		
- kaolin 	125 	255 	2 	3 	650 	150 	1 	150 	4 		
- - great_kaolin 	150 	405 	3 	6 	1600 	250 	1 	150 	8 		
- - spirit_king 	200 	455 	2 	8 	700 	250 	1 	150 	2 		
ember_spirit 	200 	200 	2 	2 	260 	110 	1 	150 	2 		
- xin 	160 	360 	2 	4 	500 	200 	1 	150 	2 		
- - great_xin 	200 	560 	3 	7 	850 	300 	1 	150 	2 		
- - void_spirit 	250 	610 	3 	10 	1000 	260 	0.8 	200 	2 		
lost_spirit 	50 	50 	1 	1 	75 	85 	0.8 	500 	1 		
- io 	85 	135 	1 	2 	290 	105 	0.8 	500 	2 		
- - wisp 	150 	285 	2 	4 	650 	270 	1 	500 	3 		
storm_spirit 	150 	150 	1 	1 	350 	150 	1 	500 	2 		
- raijin 	135 	285 	1 	2 	650 	275 	0.7 	500 	2 		
- - thunderkeg 	150 	435 	2 	4 	1250 	350 	0.7 	500 	2 		
- - lightning_spirit 	175 	460 	2 	6 	500 	100 	1 	400 	0 		
vengeful_spirit 	85 	85 	1 	1 	300 	100 	0.85 	550 	1 		
- skywrath 	100 	185 	2 	3 	500 	180 	1 	550 	2 		
- - shendelzare 
