acolyte 	105 	105 	1 	1 	120 	50 	1 	600 	2 		
- disciple 	110 	215 	1 	2 	150 	55 	1 	600 	3 		
- - follower 	120 	335 	1 	3 	250 	65 	1 	600 	4 		
- - - recomposer 	180 	515 	1 	4 	500 	75 	0.90 	600 	4 		
- - - cultist 	200 	535 	1 	5 	600 	85 	1 	600 	5 		
- - - interrupter 	250 	585 	1 	6 	350 	35 	1 	600 	4 		
mutilated_butcher 	70 	70 	1 	1 	300 	90 	0.90 	90 	1 		
- abomination 	65 	135 	1 	2 	550 	130 	2 	90 	3 		
- - devourer 	165 	300 	1 	3 	850 	160 	0.80 	90 	7 		
nether_drake 	110 	110 	1 	1 	300 	100 	1 	500 	0 		
- corruptor 	105 	215 	1 	2 	550 	150 	0.80 	500 	2 		
- - possessed_corruptor 	165 	380 	1 	3 	750 	225 	0.95 	500 	3 		
tormented_soul 	135 	135 	1 	1 	250 	140 	1 	500 	2 		
- evil_spirit 	150 	285 	1 	2 	500 	160 	1 	500 	4 		
- - tormentor 	200 	485 	1 	3 	1200 	190 	0.8 	500 	5 		
- - - the_forgotten_one 	250 	735 	1 	4 	1450 	180 	1 	500 	7 		
vampire 	110 	110 	1 	1 	350 	80 	1 	90 	3 		
- greater_vampire 	120 	230 	1 	2 	750 	105 	0.8 	90 	6 		
- - vampire_king 	155 	385 	1 	3 	1400 	110 	0.80 	90 	10 		
- - lifestealer 	130 	360 	1 	4 	750 	140 	0.8 	90 	4 		
- - - consumer 	165 	525 	1 	5 	850 	165 	1 	90 	5 		
zombie 	35 	35 	1 	1 	125 	30 	0.5 	90 	0 		
- greater_zombie 	75 	110 	1 	2 	290 	85 	1 	90 	1 		
- - golem 	95 	205 	1 	3 	850 	110 	1 	90 	5 		
- - - corrupted_golem 	135 	340 	1 	4 	1600 	150 	1 	90 	7 		
- - - flesh_ripper 
